eta,rho,depreciation,leak_share,beta,resilience,passive_fraction,score,median_RJ_250,median_final_P_TW,p10_final_P_TW,median_final_drain,p10_RJ_250,worst_disruption,name,champ_score,rank
0.35,0.045,0.002,0.2285353588605012,0.05,0.9,0.75,94.91922328251259,66936.19449626206,2449760.656894011,2441528.6535049747,2.38733902430927e-09,66710.83900281842,0.008000000000000007,Gen100-03,64.99999999812944,1
0.35,0.045,0.002,0.2275133532223544,0.05,0.9,0.75,,66791.42657642523,2458687.7936953083,2450416.172605722,2.3913868160652915e-09,66566.2977371965,0.008000000000000007,Dream Team Final,62.90307666467084,2
0.35,0.045,0.002,0.2264913475842076,0.05,0.9,0.75,94.92027550261876,66646.21391002616,2467664.8503069784,2459353.3262217343,2.39550445438788e-09,66421.31307714825,0.008000000000000007,Gen100-01,60.76953249555027,3
0.35,0.045,0.002,0.22638627372918022,0.05,0.9,0.75,94.92024849264111,66631.25906090243,2468590.6442911075,2460275.0014200434,2.395931787269156e-09,66406.38174680162,0.008000000000000007,Gen100-02,60.54808832456145,4
0.35,0.045,0.002,0.2238961681626184,0.05,0.9,0.75,94.9172542672999,66275.45695126413,2490688.073768785,2482273.9197804593,2.4062799537565093e-09,66051.14125138376,0.008000000000000007,Gen100-04,55.1845970968353,5
0.35,0.045,0.002,0.220997147600348,0.05,0.9,0.75,94.907978808561,65857.81928925062,2516801.7820734093,2508270.7150276154,2.418873411994353e-09,65634.16787080522,0.008000000000000007,Gen100-05,48.65547480519269,6
0.35,0.045,0.002,0.21994726790805058,0.05,0.9,0.75,94.90305195038479,65705.65510136788,2526363.9317016145,2517789.919793391,2.4235827847646277e-09,65482.24707461946,0.008000000000000007,Gen100-06,46.21361301612158,7
0.35,0.045,0.002,0.21905001292924883,0.05,0.9,0.75,94.89817039629368,65575.22112971297,2534581.0061535044,2525970.032848154,2.427671424674025e-09,65352.022318007876,0.008000000000000007,Gen100-07,44.09356789237547,8
0.35,0.045,0.002,0.21803634304772063,0.05,0.9,0.75,94.8919044575596,65427.42822565988,2543914.617019422,2535261.5956677916,2.4323622460247403e-09,65204.467122469985,0.008000000000000007,Gen100-08,41.661285443005745,9
0.35,0.045,0.002,0.21796943641233993,0.05,0.9,0.75,94.89146266692133,65417.6569165791,2544532.5701656807,2535876.7625133805,2.4326745586819833e-09,65194.7115538187,0.008000000000000007,Gen100-09,41.49934674856682,10
0.35,0.045,0.002,0.21795263531759587,0.05,0.9,0.75,94.89135117700638,65415.2028999185,2544687.782929693,2536031.275388547,2.4327530370266482e-09,65192.26149076532,0.008000000000000007,Gen100-10,41.458654618886136,11
0.35,0.045,0.002,0.21784574808022725,0.05,0.9,0.75,94.89063670644012,65399.587644695,2545675.582163598,2537014.61997334,2.433252806060949e-09,65176.671397371676,0.008000000000000007,Gen100-11,41.199517748902245,12
0.35,0.045,0.002,0.2178429827704074,0.05,0.9,0.75,94.89061810330382,65399.18358931608,2545701.145778295,2537040.068294399,2.4332657471084964e-09,65176.26799317474,0.008000000000000007,Gen100-12,41.19280765439374,13
0.35,0.045,0.002,0.21757061893547622,0.05,0.9,0.75,94.88875641119465,65359.36994193235,2548220.9597940957,2539548.5152626494,2.4345431678493834e-09,65136.51853545505,0.008000000000000007,Gen100-13,40.53045185873994,14
0.35,0.045,0.002,0.217508121051288,0.05,0.9,0.75,94.88832099516958,65350.22936543373,2548799.7204536963,2540124.6643915502,2.434837078748578e-09,65127.39270296582,0.008000000000000007,Gen100-14,40.37805687601211,15
0.35,0.045,0.002,0.21747959032616765,0.05,0.9,0.75,94.88812120296947,65346.056037826274,2549063.997403329,2540387.7487619948,2.4349713490766496e-09,65123.22610793461,0.008000000000000007,Gen100-15,40.30843682733443,16
